scenario,attachment_size_kb,repeat,fact_to_remember,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,memory_drift_score
growing,0,3,project name: Nimbus Portal,20,60c44ef9-fb50-4483-acac-b9d9b32ae34e,107,0,13,0,0,2129,220,0.00021063,0,none,stress_fake,True,True,False,0.0
growing,5,1,project name: Nimbus Portal,1,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,5118,4948,3,0,0,1280,220,0.0001512,22,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes multi tenant workspaces,2,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,83,0,5,0,0,418,220,9.086e-05,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes audit log,3,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,72,0,7,0,0,774,220,0.00011578,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes CSV export,4,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,57,0,9,0,0,1124,220,0.00014028,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes reporting dashboard,5,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,75,0,11,0,0,1475,220,0.00016485,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes role permissions,6,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,76,0,13,0,0,1831,220,0.00018977,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes Slack alerts,7,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,79,0,13,0,0,2187,220,0.00021469,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes Stripe billing,8,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,73,0,13,0,0,2146,220,0.00021182,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes data import,9,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,65,0,13,0,0,2139,220,0.00021133,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes admin panel,10,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,62,0,13,0,0,2135,220,0.00021105,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes GDPR export,11,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,62,0,13,0,0,2137,220,0.00021119,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes SAML SSO,12,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,62,0,13,0,0,2131,220,0.00021077,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes API keys,13,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,62,0,13,0,0,2124,220,0.00021028,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes webhook delivery,14,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,62,0,13,0,0,2115,220,0.00020965,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes background jobs,15,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,62,0,13,0,0,2110,220,0.0002093,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes usage analytics,16,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,65,0,13,0,0,2109,220,0.00020923,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes onboarding checklist,17,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,70,0,13,0,0,2112,220,0.00020944,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes billing reconciliation,18,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,73,0,13,0,0,2116,220,0.00020972,0,none,stress_fake,True,True,False,0.0
growing,5,1,scope includes incident notifications,19,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,60,0,13,0,0,2119,220,0.00020993,0,none,stress_fake,True,True,False,0.0
growing,5,1,project name: Nimbus Portal,20,76c9a6ab-f63f-4fb8-9592-e6682e5aa974,107,0,13,0,0,2129,220,0.00021063,0,none,stress_fake,True,True,False,0.0
growing,5,2,project name: Nimbus Portal,1,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,5118,4948,3,0,0,1280,220,0.0001512,12,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes multi tenant workspaces,2,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,83,0,5,0,0,418,220,9.086e-05,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes audit log,3,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,72,0,7,0,0,774,220,0.00011578,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes CSV export,4,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,57,0,9,0,0,1124,220,0.00014028,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes reporting dashboard,5,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,75,0,11,0,0,1475,220,0.00016485,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes role permissions,6,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,76,0,13,0,0,1831,220,0.00018977,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes Slack alerts,7,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,79,0,13,0,0,2187,220,0.00021469,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes Stripe billing,8,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,73,0,13,0,0,2146,220,0.00021182,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes data import,9,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,65,0,13,0,0,2139,220,0.00021133,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes admin panel,10,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,62,0,13,0,0,2135,220,0.00021105,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes GDPR export,11,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,62,0,13,0,0,2137,220,0.00021119,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes SAML SSO,12,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,62,0,13,0,0,2131,220,0.00021077,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes API keys,13,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,62,0,13,0,0,2124,220,0.00021028,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes webhook delivery,14,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,62,0,13,0,0,2115,220,0.00020965,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes background jobs,15,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,62,0,13,0,0,2110,220,0.0002093,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes usage analytics,16,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,65,0,13,0,0,2109,220,0.00020923,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes onboarding checklist,17,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,70,0,13,0,0,2112,220,0.00020944,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes billing reconciliation,18,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,73,0,13,0,0,2116,220,0.00020972,0,none,stress_fake,True,True,False,0.0
growing,5,2,scope includes incident notifications,19,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,60,0,13,0,0,2119,220,0.00020993,0,none,stress_fake,True,True,False,0.0
growing,5,2,project name: Nimbus Portal,20,a971bbed-d0ac-4a05-800c-7c3ad10f5ebb,107,0,13,0,0,2129,220,0.00021063,0,none,stress_fake,True,True,False,0.0
growing,5,3,project name: Nimbus Portal,1,2eda47d6-39db-429d-853c-1a225d77780b,5118,4948,3,0,0,1280,220,0.0001512,12,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes multi tenant workspaces,2,2eda47d6-39db-429d-853c-1a225d77780b,83,0,5,0,0,418,220,9.086e-05,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes audit log,3,2eda47d6-39db-429d-853c-1a225d77780b,72,0,7,0,0,774,220,0.00011578,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes CSV export,4,2eda47d6-39db-429d-853c-1a225d77780b,57,0,9,0,0,1124,220,0.00014028,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes reporting dashboard,5,2eda47d6-39db-429d-853c-1a225d77780b,75,0,11,0,0,1475,220,0.00016485,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes role permissions,6,2eda47d6-39db-429d-853c-1a225d77780b,76,0,13,0,0,1831,220,0.00018977,2,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes Slack alerts,7,2eda47d6-39db-429d-853c-1a225d77780b,79,0,13,0,0,2187,220,0.00021469,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes Stripe billing,8,2eda47d6-39db-429d-853c-1a225d77780b,73,0,13,0,0,2146,220,0.00021182,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes data import,9,2eda47d6-39db-429d-853c-1a225d77780b,65,0,13,0,0,2139,220,0.00021133,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes admin panel,10,2eda47d6-39db-429d-853c-1a225d77780b,62,0,13,0,0,2135,220,0.00021105,1,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes GDPR export,11,2eda47d6-39db-429d-853c-1a225d77780b,62,0,13,0,0,2137,220,0.00021119,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes SAML SSO,12,2eda47d6-39db-429d-853c-1a225d77780b,62,0,13,0,0,2131,220,0.00021077,0,none,stress_fake,True,True,False,0.0
growing,5,3,scope includes API keys,13,2eda47d6-39db-429d-853c-1a225d77780b,62,0,13,0,0,2124,220,0.00021028,0,none,stress_fake,True,True,False,0.0
